Domain,Metric (Question),Unit,Weight,Green (Optimal),Yellow (At Risk),Red (Critical),Boolean Trigger (Alert)
Physical,Daily Steps,Integer,5%,> 7500,4000 - 7500,< 4000,IF < 4000
Physical,Restful Sleep (Hours),Integer,6%,> 7,5.5 - 7,< 5.5,IF < 5.5
Physical,Physical Energy,Scale (1-10),4%,7 - 10,4 - 6,1 - 3,IF < 4
Nutrition,Hydration (Liters),Float,5%,> 2.0,1.0 - 2.0,< 1.0,IF < 1.0
Nutrition,Whole vs Processed Foods,Boolean (Y/N),4%,Yes (Whole),N/A,No (Processed),IF = No
Nutrition,High Added Sugar Intake,Boolean (Y/N),4%,No,N/A,Yes,IF = Yes
Mental,Focus & Bandwidth,Scale (1-10),4%,7 - 10,4 - 6,1 - 3,IF < 4
Mental,Mentally Overwhelmed,Boolean (Y/N),5%,No,N/A,Yes,IF = Yes
Mental,Mentally Engaging Activity,Boolean (Y/N),2%,Yes,N/A,No,IF = No
Emotional,Overall Mood/State,Scale (1-10),5%,7 - 10,4 - 6,1 - 3,IF < 4
Emotional,Extended Frustration,Boolean (Y/N),4%,No,N/A,Yes,IF = Yes
Emotional,Intentional Decompression,Boolean (Y/N),2%,Yes,N/A,No,IF = No
Occupational,Role Alignment,Scale (1-10),5%,7 - 10,4 - 6,1 - 3,IF < 4
Occupational,Sense of Progress,Boolean (Y/N),3%,Yes,N/A,No,IF = No
Occupational,Work/Life Boundaries,Boolean (Y/N),4%,Yes,N/A,No,IF = No
Financial,Financial Stress/Anxiety,Scale (1-10),5%,1 - 3,4 - 6,7 - 10,IF > 6
Financial,Spending Comfort,Boolean (Y/N),3%,Yes,N/A,No,IF = No
Financial,Budget Clarity,Boolean (Y/N),2%,Yes,N/A,No,IF = No
Social,Meaningful Connection,Boolean (Y/N),4%,Yes,N/A,No,IF = No
Social,Reliable Support System,Boolean (Y/N),5%,Yes,N/A,No,IF = No
Digital,Non-Work Screen Time (Hrs),Integer,4%,< 2,2 - 4,> 4,IF > 4
Digital,Device Distraction,Boolean (Y/N),5%,No,N/A,Yes,IF = Yes
Sexual / Vitality,Physical Drive/Vitality,Scale (1-10),6%,7 - 10,4 - 6,1 - 3,IF < 4
Sexual / Vitality,Intimacy Satisfaction,Boolean (Y/N),4%,Yes,N/A,No,IF = No